section,title,source_line,status,api,limits,evidence
2.1,简单收益率,60,formula_evaluator,formula.cashflow_return / transform,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,paper_catalog + module reference tests
2.2,对数收益率,87,formula_evaluator,transform.log_return,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,existing baseline tests
2.3,净值曲线,123,formula_evaluator,performance,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,existing baseline tests
2.4,年化收益率,143,formula_evaluator,performance,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,existing baseline tests
2.5,年化波动率,169,formula_evaluator,performance,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,existing baseline tests
3.1,条件概率,193,formula_evaluator,probability,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,existing baseline tests
3.2,贝叶斯公式,211,formula_evaluator,formula.bayes,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,paper_catalog + module reference tests
3.3,全概率公式,238,formula_evaluator,formula.bayes / formula.discrete_probability,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,paper_catalog + module reference tests
3.4,数学期望,261,formula_evaluator,formula.discrete_probability,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,paper_catalog + module reference tests
3.5,方差与标准差,302,formula_evaluator,describe / formula.discrete_probability,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,existing baseline tests
3.6,协方差,332,formula_evaluator,pair,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,existing baseline tests
3.7,相关系数,356,formula_evaluator,pair,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,existing baseline tests
3.8,全期望与全方差,381,formula_evaluator,formula.discrete_probability,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,paper_catalog + module reference tests
4.1,伯努利分布,410,formula_evaluator,distribution.bernoulli,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,existing baseline tests
4.2,二项分布,443,formula_evaluator,distribution.binomial,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,existing baseline tests
4.3,正态分布,479,formula_evaluator,distribution.normal,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,existing baseline tests
4.4,对数正态分布,500,formula_evaluator,distribution.log_normal,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,existing baseline tests
4.5,泊松分布,522,formula_evaluator,distribution.poisson,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,existing baseline tests
4.6,指数分布,557,formula_evaluator,distribution.exponential,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,existing baseline tests
5.1,样本均值,590,formula_evaluator,describe,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,existing baseline tests
5.2,样本方差,601,formula_evaluator,describe,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,existing baseline tests
5.3,Z-Score 标准分数,622,formula_evaluator,rolling_zscore,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,existing baseline tests
5.4,中位数绝对偏差 MAD,667,formula_evaluator,describe,explicit formula variant and bounds: docs/contracts/paper-models-v1.md,existing baseline tests
