"id","name","kind","category","batch","status","input","implemented_profiles","evidence","remaining"
"sma","SMA","indicator","均线与平滑","A","原型","ohlcv_or_series","","","目标批次尚未交付"
"ema","EMA","indicator","均线与平滑","A","原型","ohlcv_or_series","","","目标批次尚未交付"
"wma","WMA","indicator","均线与平滑","A","A1 已实现；Windows 验证通过","ohlcv_or_series","wma.14","contracts/expansion-a1.md; evidence/2026-09-03-expansion-a1.md","跨平台和生产验收待做"
"rma","RMA","indicator","均线与平滑","A","A1 已实现；Windows 验证通过","ohlcv_or_series","rma.14","contracts/expansion-a1.md; evidence/2026-09-03-expansion-a1.md","跨平台和生产验收待做"
"dema","DEMA","indicator","均线与平滑","A","A1 已实现；Windows 验证通过","ohlcv_or_series","dema.14","contracts/expansion-a1.md; evidence/2026-09-03-expansion-a1.md","跨平台和生产验收待做"
"tema","TEMA","indicator","均线与平滑","A","A1 已实现；Windows 验证通过","ohlcv_or_series","tema.14","contracts/expansion-a1.md; evidence/2026-09-03-expansion-a1.md","跨平台和生产验收待做"
"hma","HMA","indicator","均线与平滑","A","原型","ohlcv_or_series","","","目标批次尚未交付"
"kama","KAMA","indicator","均线与平滑","A","原型","ohlcv_or_series","","","目标批次尚未交付"
"vwma","VWMA","indicator","均线与平滑","A","A1 已实现；Windows 验证通过","ohlcv_with_volume","vwma.14","contracts/expansion-a1.md; evidence/2026-09-03-expansion-a1.md","跨平台和生产验收待做"
"alma","ALMA","indicator","均线与平滑","B","待实现","ohlcv_or_series","","","目标批次尚未交付"
"adx","ADX/DI","indicator","趋势与方向","A","原型","ohlcv_or_series","","","目标批次尚未交付"
"aroon","Aroon","indicator","趋势与方向","A","原型","ohlcv_or_series","","","目标批次尚未交付"
"sar","SAR","indicator","趋势与方向","A","原型","ohlcv_or_series","","","目标批次尚未交付"
"ichimoku","Ichimoku","indicator","趋势与方向","A","原型","ohlcv_or_series","","","目标批次尚未交付"
"supertrend","SuperTrend","indicator","趋势与方向","A","待实现","ohlcv_or_series","","","目标批次尚未交付"
"vortex","Vortex","indicator","趋势与方向","B","待实现","ohlcv_or_series","","","目标批次尚未交付"
"rsi","RSI","indicator","动量与振荡","A","原型","ohlcv_or_series","","","目标批次尚未交付"
"macd","MACD","indicator","动量与振荡","A","原型","ohlcv_or_series","","","目标批次尚未交付"
"stochastic","Stochastic/KDJ","indicator","动量与振荡","A","原型","ohlcv_or_series","","","目标批次尚未交付"
"stoch_rsi","Stochastic RSI","indicator","动量与振荡","A","待实现","ohlcv_or_series","","","目标批次尚未交付"
"cci","CCI","indicator","动量与振荡","A","原型","ohlcv_or_series","","","目标批次尚未交付"
"cmo","CMO","indicator","动量与振荡","A","原型","ohlcv_or_series","","","目标批次尚未交付"
"roc","ROC","indicator","动量与振荡","A","A1 已实现；Windows 验证通过","ohlcv_or_series","roc.14","contracts/expansion-a1.md; evidence/2026-09-03-expansion-a1.md","跨平台和生产验收待做"
"momentum","Momentum","indicator","动量与振荡","A","A1 已实现；Windows 验证通过","ohlcv_or_series","momentum.14","contracts/expansion-a1.md; evidence/2026-09-03-expansion-a1.md","跨平台和生产验收待做"
"true_strength","True Strength Index","indicator","动量与振荡","A","上游待封装","ohlcv_or_series","","","目标批次尚未交付"
"relative_vigor","Relative Vigor Index","indicator","动量与振荡","A","上游待封装","ohlcv_or_series","","","目标批次尚未交付"
"ao","Awesome Oscillator","indicator","动量与振荡","A","原型","ohlcv_or_series","","","目标批次尚未交付"
"ac","Accelerator Oscillator","indicator","动量与振荡","B","待实现","ohlcv_or_series","","","目标批次尚未交付"
"ppo","PPO","indicator","动量与振荡","B","待实现","ohlcv_or_series","","","目标批次尚未交付"
"trix","TRIX（公式变体分别标识）","indicator","动量与振荡","A","原型","ohlcv_or_series","","","目标批次尚未交付"
"williams_r","Williams %R","indicator","动量与振荡","A","A1 已实现；Windows 验证通过","ohlcv_or_series","williams_r.14","contracts/expansion-a1.md; evidence/2026-09-03-expansion-a1.md","跨平台和生产验收待做"
"ultimate","Ultimate Oscillator","indicator","动量与振荡","B","待实现","ohlcv_or_series","","","目标批次尚未交付"
"kst","Know Sure Thing","indicator","动量与振荡","B","上游待封装","ohlcv_or_series","","","目标批次尚未交付"
"fisher","Fisher Transform","indicator","动量与振荡","B","上游待封装","ohlcv_or_series","","","目标批次尚未交付"
"atr","TR/ATR/NATR","indicator","波动与通道","A","原型","ohlcv_or_series","","","目标批次尚未交付"
