module,target_id,status,reason,native_mcp_id,native_mcp_tool
aroon,aroon,prototype,Registered default; formula and warmup audit pending,indicator.aroon,native_batch_calculate
average_directional_index,adx,prototype,Registered default; DI and normalization audit pending,indicator.average_directional_index,native_batch_calculate
awesome_oscillator,ao,prototype,Registered default; smoothing and warmup audit pending,indicator.awesome_oscillator,native_batch_calculate
bollinger_bands,bollinger,prototype,Registered default; percent-B and bandwidth variants pending,indicator.bollinger_bands,native_batch_calculate
chaikin_money_flow,cmf,prototype,Registered default; zero volume audit pending,indicator.chaikin_money_flow,native_batch_calculate
chaikin_oscillator,chaikin,adapted_prototype,Outer accumulator preserves default arithmetic and supports restore,indicator.chaikin_oscillator,native_batch_calculate
chande_kroll_stop,,candidate_deferred,Not in 60 core families; stop-rule semantics need separate specification,indicator.chande_kroll_stop,native_batch_calculate
chande_momentum_oscillator,cmo,prototype,Registered default; normalized range and warmup audit pending,indicator.chande_momentum_oscillator,native_batch_calculate
commodity_channel_index,cci,prototype,Registered default; Yata scaling variant needs reference audit,indicator.commodity_channel_index,native_batch_calculate
coppock_curve,,candidate_deferred,Not in 60 core families; long-horizon weighted ROC candidate,indicator.coppock_curve,native_batch_calculate
detrended_price_oscillator,,candidate_deferred,Not in 60 core families; displacement and availability require review,indicator.detrended_price_oscillator,native_batch_calculate
donchian_channel,donchian,prototype,Registered default; window and output map audit pending,indicator.donchian_channel,native_batch_calculate
ease_of_movement,emv,B_pending,Requires volume units and division-domain specification,indicator.ease_of_movement,native_batch_calculate
elders_force_index,efi,prototype,Registered default; smoothing and units audit pending,indicator.elders_force_index,native_batch_calculate
envelopes,,candidate_deferred,Not in 60 core families; percentage envelope distinct from Bollinger,indicator.envelopes,native_batch_calculate
fisher_transform,fisher,B_pending,Requires clipping and signal variant audit,indicator.fisher_transform,native_batch_calculate
hull_moving_average,hma,prototype,Registered default; integer window rounding audit pending,indicator.hull_moving_average,native_batch_calculate
ichimoku_cloud,ichimoku,prototype,Registered default; delayed output semantics and multiperiod audit pending,indicator.ichimoku_cloud,native_batch_calculate
kaufman,kama,prototype,Registered default; efficiency ratio initialization audit pending,indicator.kaufman,native_batch_calculate
keltner_channel,keltner,prototype,Registered source-upper-lower order; formula audit pending,indicator.keltner_channel,native_batch_calculate
klinger_volume_oscillator,kvo,B_pending,Requires trend and volume force variant specification,indicator.klinger_volume_oscillator,native_batch_calculate
know_sure_thing,kst,B_pending,Requires four ROC windows and signal specification,indicator.know_sure_thing,native_batch_calculate
macd,macd,prototype,Registered macd and signal; histogram profile pending,indicator.macd,native_batch_calculate
momentum_index,,candidate_deferred,Smoothed MomentumIndex is not the raw Momentum Method family; avoid conflation,indicator.momentum_index,native_batch_calculate
money_flow_index,mfi,prototype,Registered threshold-mfi-threshold outputs; normalized scale audit pending,indicator.money_flow_index,native_batch_calculate
parabolic_sar,sar,prototype,Registered default; direction and reversal initialization audit pending,indicator.parabolic_sar,native_batch_calculate
pivot_reversal_strategy,feature_01,C_candidate,Strategy signals are not confirmed peak/trough evidence; confirmation contract required,indicator.pivot_reversal_strategy,native_batch_calculate
price_channel_strategy,feature_04,C_candidate,Strategy entries are not a formally specified breakout feature,indicator.price_channel_strategy,native_batch_calculate
relative_strength_index,rsi,outer_variant,Core RSI uses RMA gains-losses with 0..100 scale; not direct default-instance wrapper,indicator.relative_strength_index,native_batch_calculate
relative_vigor_index,relative_vigor,A_pending,Requires weighted price-spread formula and signal warmup audit,indicator.relative_vigor_index,native_batch_calculate
smi_ergodic_indicator,,candidate_deferred,Not in 60 core families; distinct ergodic signal candidate,indicator.smi_ergodic_indicator,native_batch_calculate
stochastic_oscillator,stochastic,prototype,Registered normalized K-D; KDJ J variant pending,indicator.stochastic_oscillator,native_batch_calculate
trix,trix,prototype,Preserve Yata absolute change; percentage TRIX variant pending,indicator.trix,native_batch_calculate
trend_strength_index,,candidate_deferred,Not TrueStrengthIndex; distinct family outside the 60 target list,indicator.trend_strength_index,native_batch_calculate
true_strength_index,true_strength,A_pending,Double-smoothed momentum ratio and signal specification pending,indicator.true_strength_index,native_batch_calculate
woodies_cci,,candidate_deferred,Rule-system variant; not a new classic family for counting,indicator.woodies_cci,native_batch_calculate
